mpg;zylinder;ps;gewicht;beschleunigung;baujahr
18.00;8;130;3504;12;70
15.00;8;165;3693;11.5;70
18.00;8;150;3436;11;70
16.00;8;150;3433;12;70
17.00;8;140;3449;10.5;70
15.00;8;198;4341;10;70
14.00;8;220;4354;9;70
14.00;8;215;4312;8.5;70
14.00;8;225;4425;10;70
15.00;8;190;3850;8.5;70
15.00;8;170;3563;10;70
14.00;8;160;3609;8;70
15.00;8;150;3761;9.5;70
14.00;8;225;3086;10;70
24.00;4;95;2372;15;70
22.00;6;95;2833;15.5;70
18.00;6;97;2774;15.5;70
21.00;6;85;2587;16;70
27.00;4;88;2130;14.5;70
26.00;4;46;1835;20.5;70
25.00;4;87;2672;17.5;70
24.00;4;90;2430;14.5;70
25.00;4;95;2375;17.5;70
26.00;4;113;2234;12.5;70
21.00;6;90;2648;15;70
10.00;8;215;4615;14;70
10.00;8;200;4376;15;70
11.00;8;210;4382;13.5;70
9.00;8;193;4732;18.5;70
27.00;4;88;2130;14.5;71
28.00;4;90;2264;15.5;71
25.00;4;95;2228;14;71
25.00;4;104;2046;19;71